,ent_name,corpus_url,sent
85,Accounting Equation,https://www.investopedia.com/terms/a/accounting-equation.asp,The accounting equation states that a company's total assets are equal to the sum of its liabilities and its shareholders' equity.
86,Accounting Information System (AIS),https://www.investopedia.com/terms/a/accounting-information-system-ais.asp,"An accounting information system (AIS) involves the collection, storage, and processing of financial and accounting data used by internal users to report information to investors, creditors, and tax authorities."
87,Accounting Method,https://www.investopedia.com/terms/a/accountingmethod.asp,An accounting method refers to the rules a company follows in reporting revenues and expenses.
88,Accounting Policies,https://www.investopedia.com/terms/a/accounting-policies.asp,Accounting policies are the specific principles and procedures implemented by a company's management team that are used to prepare its financial statements.
89,Accounting Principles,https://www.investopedia.com/terms/a/accounting-principles.asp,Accounting principles are the rules and guidelines that companies and other bodies must follow when reporting financial data.
90,Accounting Profit,https://www.investopedia.com/terms/a/accountingprofit.asp,"Accounting profit is a company's total earnings, calculated according to generally accepted accounting principles (GAAP)."
91,Accounting Rate of Return (ARR),https://www.investopedia.com/terms/a/arr.asp,"The accounting rate of return (ARR) is a formula that reflects the percentage rate of return expected on an investment or asset, compared to the initial investment's cost."
92,Accounting Ratio,https://www.investopedia.com/terms/a/accounting-ratio.asp,"Accounting ratios, an important sub-set of financial ratios, are a group of metrics used to measure the efficiency and profitability of a company based on its financial reports."
93,Accounting Standard,https://www.investopedia.com/terms/a/accounting-standard.asp,"An accounting standard is a common set of principles, standards, and procedures that define the basis of financial accounting policies and practices."
94,Accounting Theory,https://www.investopedia.com/terms/a/accounting-theory.asp,"Accounting theory is a set of assumptions, frameworks, and methodologies used in the study and application of financial reporting principles."
95,Accounts Payable (AP),https://www.investopedia.com/terms/a/accountspayable.asp,"Accounts payable (AP), or ""payables,"" refer to a company's short-term obligations owed to its creditors or suppliers, which have not yet been paid."
96,Accounts Payable Turnover Ratio Definition,https://www.investopedia.com/terms/a/accountspayableturnoverratio.asp,The accounts payable turnover ratio is a short-term liquidity measure used to quantify the rate at which a company pays off its suppliers.
97,Accounts Receivable (AR),https://www.investopedia.com/terms/a/accountsreceivable.asp,Accounts receivable (AR) is the balance of money due to a firm for goods or services delivered or used but not yet paid for by customers.
98,Accounts Receivable Aging,https://www.investopedia.com/terms/a/accounts-receivable-aging.asp,Accounts receivable aging is a periodic report that categorizes a company's accounts receivable according to the length of time an invoice has been outstanding.
99,Accounts Receivable Financing,https://www.investopedia.com/terms/a/accountsreceivablefinancing.asp,Accounts receivable (AR) financing is a type of financing arrangement in which a company receives financing capital related to a portion of its accounts receivable.
100,Accredited Asset Management Specialist (AAMS),https://www.investopedia.com/terms/a/accredited-asset-management-specialist-aams.asp,"The Accredited Asset Management Specialist (AAMS®) is a professional designation awarded by the College for Financial Planning unto financial professionals who successfully complete a self-study program, pass an exam, and agree to comply with a code of ethics."
101,Accredited In Business Valuation (ABV),https://www.investopedia.com/terms/a/accredited-in-business-valuation-abv.asp,"Accredited in Business Valuation (ABV) is a professional designation awarded to a certified public accountant (CPA), who specializes in calculating businesses' value."
102,Accredited Investor,https://www.investopedia.com/terms/a/accreditedinvestor.asp,An accredited investor is an individual or a business entity that is allowed to trade securities that may not be registered with financial authorities.
103,Accretion,https://www.investopedia.com/terms/a/accretion.asp,"Accretion is the gradual and incremental growth of assets and earnings due to business expansion, a company's internal growth, or a merger or acquisition."
104,Accretion of Discount,https://www.investopedia.com/terms/a/accretion-of-discount.asp,Accretion of discount is the increase in the value of a discounted instrument as time passes and the maturity date looms closer.
105,Accretive,https://www.investopedia.com/terms/a/accretive.asp,"In both finance and in general lexicon, the term ""accretive"" is the adjective form of the word ""accretion"", which refers to gradual or incremental growth."
106,Accrual Accounting,https://www.investopedia.com/terms/a/accrualaccounting.asp,Accrual accounting is a financial accounting method that allows a company to record revenue before receiving payment for goods or services sold or expenses are recorded as incurred before the company has paid for them.
107,Accruals,https://www.investopedia.com/terms/a/accruals.asp,"Accruals are revenues earned or expenses incurred which impact a company's net income on the income statement, although cash related to the transaction has not yet changed hands."
108,Accrue,https://www.investopedia.com/terms/a/accrue.asp,"To accrue means to accumulate over time—most commonly used when referring to the interest, income, or expenses of an individual or business."
109,Accrued Expense Definition,https://www.investopedia.com/terms/a/accruedexpense.asp,"An accrued expense, also known as accrued liabilities, is an accounting term that refers to an expense that is recognized on the books before it has been paid."
110,Accrued Income,https://www.investopedia.com/terms/a/accruedincome.asp,Accrued income is money that's been earned but has yet to be received.
111,Accrued Interest,https://www.investopedia.com/terms/a/accruedinterest.asp,"In accounting, accrued interest refers to the amount of interest that has been incurred, as of a specific date, on a loan or other financial obligation but has not yet been paid out."
112,Accrued Liability,https://www.investopedia.com/terms/a/accrued-liability.asp,"The term ""accrued liability"" refers to an expense incurred but not yet paid for by a business."
113,Accrued Revenue,https://www.investopedia.com/terms/a/accrued-revenue.asp,"Accrued revenue is revenue that has been earned by providing a good or service, but for which no cash has been received."
114,Accumulated Depreciation,https://www.investopedia.com/terms/a/accumulated-depreciation.asp,Accumulated depreciation is the cumulative depreciation of an asset up to a single point in its life.
115,Accumulated Other Comprehensive Income,https://www.investopedia.com/terms/a/accumulatedother.asp,Accumulated depreciation is the cumulative depreciation of an asset up to a single point in its life.
116,Accumulation Phase,https://www.investopedia.com/terms/a/accumulationphase.asp,Accumulation phase has two meanings for investors and those saving for retirement.
117,Accumulation/Distribution Indicator (A/D),https://www.investopedia.com/terms/a/accumulationdistribution.asp,The accumulation/distribution indicator (A/D) is a cumulative indicator that uses volume and price to assess whether a stock is being accumulated or distributed.
118,Acid-Test Ratio,https://www.investopedia.com/terms/a/acidtest.asp,"The acid-test ratio, commonly known as the quick ratio, uses a firm's balance sheet data as an indicator of whether it has sufficient short-term assets to cover its short-term liabilities."
119,Acquisition,https://www.investopedia.com/terms/a/acquisition.asp,An acquisition is when one company purchases most or all of another company's shares to gain control of that company.
120,Acquisition Accounting,https://www.investopedia.com/terms/a/acquisition-accounting.asp,"Acquisition accounting is a set of formal guidelines describing how assets, liabilities, non-controlling interest (NCI) and goodwill of a purchased company must be reported by the buyer on its consolidated statement of financial position."
121,Acquisition Cost,https://www.investopedia.com/terms/a/acquisition-cost.asp,"An acquisition cost, also referred to as the cost of acquisition, is the total cost that a company recognizes on its books for property or equipment after adjusting for discounts, incentives, closing costs and other necessary expenditures, but before sales taxes."
122,Acquisition Premium,https://www.investopedia.com/terms/a/acquisitionpremium.asp,An acquisition premium is a figure that's the difference between the estimated real value of a company and the actual price paid to acquire it.
123,Active Management,https://www.investopedia.com/terms/a/activemanagement.asp,"The term active management means that an investor, a professional money manager, or a team of professionals is tracking the performance of an investment portfolio and making buy, hold, and sell decisions about the assets in it."
124,Activist Investor,https://www.investopedia.com/terms/a/activist-investor.asp,"The term active management means that an investor, a professional money manager, or a team of professionals is tracking the performance of an investment portfolio and making buy, hold, and sell decisions about the assets in it."
125,Activities of Daily Living (ADL),https://www.investopedia.com/terms/a/adl.asp,"The term active management means that an investor, a professional money manager, or a team of professionals is tracking the performance of an investment portfolio and making buy, hold, and sell decisions about the assets in it."
126,Activity-Based Budgeting (ABB),https://www.investopedia.com/terms/a/abb.asp,"Activity-based budgeting (ABB) is a system that records, researches, and analyzes activities that lead to costs for a company."
127,Activity-Based Costing (ABC),https://www.investopedia.com/terms/a/abc.asp,Activity-based costing (ABC) is a costing method that assigns overhead and indirect costs to related products and services.
128,Activity-Based Management (ABM),https://www.investopedia.com/terms/a/abm.asp,Activity-based management (ABM) is a system for determining the profitability of every aspect of a business so that its strengths can be enhanced and its weaknesses can either be improved or eliminated altogether.
129,Activity Cost Driver,https://www.investopedia.com/terms/a/activity-cost-driver.asp,An activity cost driver is an accounting term.
130,Activity Ratios Definition,https://www.investopedia.com/terms/a/activityratio.asp,"An activity ratio is a type of financial metric that indicates how efficiently a company is leveraging the assets on its balance sheet, to generate revenues and cash."
131,Actual Deferral & Actual Contribution Percentage Tests (ADP/ACP),https://www.investopedia.com/terms/a/actual-deferral-percentage-actual-contribution-percentage.asp,The Actual Deferral Percentage (ADP) and Actual Contribution Percentage (ACP) tests are two tests that companies must conduct to ensure that their 401(k) plans don't unfairly benefit highly-paid employees at the expense of others.
132,Actuarial Gain Or Loss,https://www.investopedia.com/terms/a/actuarial-gain-loss.asp,Actuarial gain or loss refers to an increase or a decrease in the projections used to value a corporation’s defined benefit pension plan obligations.
133,Actuarial Life Table,https://www.investopedia.com/terms/a/actuarial-life-table.asp,An actuarial life table is a table or spreadsheet that shows the probability of a person at a certain age dying before their next birthday.
134,Actuarial Science,https://www.investopedia.com/terms/a/actuarial-science.asp,"Actuarial science is a discipline that assesses financial risks in the insurance and finance fields, using mathematical and statistical methods."
135,Ad Valorem Tax,https://www.investopedia.com/terms/a/advaloremtax.asp,"An ad valorem tax is a tax based on the assessed value of an item, such as real estate or personal property."
136,Add-On Interest,https://www.investopedia.com/terms/a/add-on_interest.asp,"Add-on interest is a method of calculating the interest to be paid on a loan by combining the total principal amount borrowed and the total interest due into a single figure, then multiplying that figure by the number of years to repayment."
137,Additional Child Tax Credit,https://www.investopedia.com/terms/a/additional-child-tax-credit.asp,The additional child tax credit was the refundable portion of the child tax credit.
138,Additional Paid-In Capital (APIC),https://www.investopedia.com/terms/a/additionalpaidincapital.asp,Additional paid-in capital (APIC) is an accounting term referring to money an investor pays above and beyond the par value price of a stock.
139,Addition Rule for Probabilities Definition,https://www.investopedia.com/terms/a/additionruleforprobabilities.asp,"The addition rule for probabilities describes two formulas, one for the probability for either of two mutually exclusive events happening and the other for the probability of two non-mutually exclusive events happening."
140,Adhesion Contract,https://www.investopedia.com/terms/a/adhesion-contract.asp,An adhesion contract is an agreement where one party has substantially more power than the other in setting the terms of the contract.
141,Adjudication,https://www.investopedia.com/terms/a/adjudication.asp,"An adjudication is a legal ruling or judgment, usually final, but can also refer to the process of settling a legal case or claim through the court or justice system, such as a decree in the bankruptcy process between the defendant and the creditors."
142,Adjustable Life Insurance,https://www.investopedia.com/terms/a/adjustable-life-insurance.asp,"Adjustable life insurance is a hybrid of term life and whole life insurance that allows policyholders the option to adjust policy features, including the period of protection, face amount, premiums, and length of the premium payment period."
143,Adjustable-Rate Mortgage (ARM),https://www.investopedia.com/terms/a/arm.asp,An adjustable-rate mortgage (ARM) is a home loan with a variable interest rate.
144,Adjusted Closing Price,https://www.investopedia.com/terms/a/adjusted_closing_price.asp,The adjusted closing price amends a stock's closing price to reflect that stock's value after accounting for any corporate actions.
145,Adjusted EBITDA Definition,https://www.investopedia.com/terms/a/adjusted-ebitda.asp,"Adjusted EBITDA (earnings before interest, taxes, depreciation, and amortization) is a measure computed for a company that takes its earnings and adds back interest expenses, taxes, and depreciation charges, plus other adjustments to the metric."
146,Adjusted Funds From Operations—AFFO,https://www.investopedia.com/terms/a/affo.asp,Adjusted funds from operations (AFFO) refers to the financial performance measure primarily used in the analysis of real estate investment trusts (REITs).
147,Adjusted Gross Income (AGI),https://www.investopedia.com/terms/a/agi.asp,Adjusted gross income (AGI) is the figure that the Internal Revenue Service (IRS) uses to determine your income tax liability for the year.
148,Adjusted Present Value (APV) Definition,https://www.investopedia.com/terms/a/apv.asp,"The adjusted present value is the net present value (NPV) of a project or company if financed solely by equity plus the present value (PV) of any financing benefits, which are the additional effects of debt."
149,Adjusting Journal Entry Definition,https://www.investopedia.com/terms/a/adjusting-journal-entry.asp,An adjusting journal entry is an entry in a company's general ledger that occurs at the end of an accounting period to record any unrecognized income or expenses for the period.
150,Administrative Expenses,https://www.investopedia.com/terms/a/administrative-expenses.asp,"Administrative expenses are expenses an organization incurs that are not directly tied to a specific core function such as manufacturing, production, or sales."
151,Administrative Services Only (ASO),https://www.investopedia.com/terms/a/administrative-services-only.asp,Administrative services only (ASO) refers to an agreement that companies use when they fund their employee benefit plan but hire an outside vendor to administer it.
152,Advance/Decline Line - A/D Definition and Uses,https://www.investopedia.com/terms/a/advancedeclineline.asp,The advance/decline line (or A/D line) is a technical indicator that plots the difference between the number of advancing and declining stocks on a daily basis.
153,Advance Payment,https://www.investopedia.com/terms/a/advance-payment.asp,Advance payment is a type of payment made ahead of its normal schedule such as paying for a good or service before you actually receive it.
154,Advanced Internal Rating-Based (AIRB),https://www.investopedia.com/terms/a/airb.asp,An advanced internal rating-based (AIRB) approach to credit risk measurement is a method that requests that all risk components be calculated internally within a financial institution.
155,Adverse Possession,https://www.investopedia.com/terms/a/adverse-possession.asp,"The term ""adverse possession"" refers to a legal principle that grants title to someone who resides on or is in possession of another person's land."
156,Adverse Selection,https://www.investopedia.com/terms/a/adverseselection.asp,"Adverse selection refers generally to a situation in which sellers have information that buyers do not have, or vice versa, about some aspect of product quality."
157,Advertising Budget,https://www.investopedia.com/terms/a/advertising-budget.asp,An advertising budget is an estimate of a company's promotional expenditures over a certain time period.
158,Affiliate,https://www.investopedia.com/terms/a/affiliate.asp,Affiliate is used primarily to describe a business relationship wherein one company owns less than a majority stake in the other company's stock.
